index,X,Y,Z,X2,Y2,Z2
1618,-4.659756e-02,1.359439e-01,8.516019e-04,-3.878026e+01,2.971967e+02,7.176554e+00
1619,-4.478567e-02,1.362845e-01,8.197092e-04,-2.436243e+00,2.992748e+02,6.328145e+00
1620,-4.665941e-02,1.361073e-01,8.528489e-04,-3.882992e+01,2.975639e+02,7.185465e+00
1621,-4.484524e-02,1.364482e-01,8.209160e-04,-2.440976e+00,2.996444e+02,6.336002e+00
1622,-4.672126e-02,1.362706e-01,8.540959e-04,-3.887958e+01,2.979312e+02,7.194377e+00
1623,-4.490481e-02,1.366118e-01,8.221228e-04,-2.445710e+00,3.000140e+02,6.343860e+00
1624,-4.678311e-02,1.364339e-01,8.553428e-04,-3.892924e+01,2.982985e+02,7.203288e+00
1625,-4.496439e-02,1.367755e-01,8.233296e-04,-2.450443e+00,3.003836e+02,6.351718e+00
1626,-4.684496e-02,1.365973e-01,8.565898e-04,-3.897890e+01,2.986657e+02,7.212200e+00
1627,-4.502396e-02,1.369392e-01,8.245364e-04,-2.455176e+00,3.007532e+02,6.359576e+00
1628,-4.690681e-02,1.367606e-01,8.578368e-04,-3.902856e+01,2.990330e+02,7.221111e+00
1629,-4.508353e-02,1.371028e-01,8.257432e-04,-2.459909e+00,3.011228e+02,6.367434e+00
1630,-4.696866e-02,1.369240e-01,8.590837e-04,-3.907823e+01,2.994003e+02,7.230023e+00
1631,-4.514311e-02,1.372665e-01,8.269500e-04,-2.464642e+00,3.014924e+02,6.375292e+00
1632,-4.703051e-02,1.370873e-01,8.603307e-04,-3.912789e+01,2.997675e+02,7.238934e+00
1633,-4.520268e-02,1.374302e-01,8.281568e-04,-2.469375e+00,3.018621e+02,6.383150e+00
1634,-4.709236e-02,1.372507e-01,8.615777e-04,-3.917755e+01,3.001348e+02,7.247845e+00
1635,-4.526225e-02,1.375938e-01,8.293636e-04,-2.474108e+00,3.022317e+02,6.391007e+00
1636,-4.715421e-02,1.374140e-01,8.628246e-04,-3.922721e+01,3.005021e+02,7.256757e+00
1637,-4.532182e-02,1.377575e-01,8.305704e-04,-2.478841e+00,3.026013e+02,6.398865e+00
1638,-4.721605e-02,1.375774e-01,8.640716e-04,-3.927687e+01,3.008693e+02,7.265668e+00
1639,-4.538140e-02,1.379212e-01,8.317772e-04,-2.483574e+00,3.029709e+02,6.406723e+00
1640,-4.727790e-02,1.377407e-01,8.653186e-04,-3.932653e+01,3.012366e+02,7.274580e+00
1641,-4.544097e-02,1.380848e-01,8.329840e-04,-2.488307e+00,3.033405e+02,6.414581e+00
1642,-4.733975e-02,1.379041e-01,8.665655e-04,-3.937619e+01,3.016039e+02,7.283491e+00
1643,-4.550054e-02,1.382485e-01,8.341908e-04,-2.493041e+00,3.037101e+02,6.422439e+00
1644,-4.740160e-02,1.380674e-01,8.678125e-04,-3.942585e+01,3.019711e+02,7.292403e+00
1645,-4.556012e-02,1.384122e-01,8.353976e-04,-2.497774e+00,3.040797e+02,6.430297e+00
1646,-4.746345e-02,1.382308e-01,8.690595e-04,-3.947551e+01,3.023384e+02,7.301314e+00
1647,-4.561969e-02,1.385758e-01,8.366044e-04,-2.502507e+00,3.044493e+02,6.438155e+00
1648,-4.752530e-02,1.383941e-01,8.703064e-04,-3.952517e+01,3.027057e+02,7.310226e+00
1649,-4.567926e-02,1.387395e-01,8.378112e-04,-2.507240e+00,3.048189e+02,6.446012e+00
1650,-4.758715e-02,1.385575e-01,8.715534e-04,-3.957483e+01,3.030730e+02,7.319137e+00
1651,-4.573884e-02,1.389032e-01,8.390180e-04,-2.511973e+00,3.051885e+02,6.453870e+00
1652,-4.764900e-02,1.387208e-01,8.728004e-04,-3.962449e+01,3.034402e+02,7.328048e+00
1653,-4.579841e-02,1.390668e-01,8.402248e-04,-2.516706e+00,3.055581e+02,6.461728e+00
1654,-4.771085e-02,1.388842e-01,8.740474e-04,-3.967415e+01,3.038075e+02,7.336960e+00
1655,-4.585798e-02,1.392305e-01,8.414316e-04,-2.521439e+00,3.059278e+02,6.469586e+00
1656,-4.777270e-02,1.390475e-01,8.752943e-04,-3.972381e+01,3.041748e+02,7.345871e+00
